skintype,skin_condition,product_type,product_name,brand,notable_effects,picture_src
"Normal, Dry","('dry and dehydrated skin', 'redness')",Sunscreen,Erha Perfect Shield Sunscreen Normal to Dry Skin,ERHA,"('soothing', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/1de43408-2fe7-4ddc-9b85-525aa569afb2-image-0-1624516022704"
Oily,"('dry and dehydrated skin', 'sun damage')",Sunscreen,Erha ERHA Perfect Shield Sunscreen Oily Skin SPF 30/PA++,ERHA,"('moisturizing', 'uv-protection')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/00adb73d-3865-4eb8-8f6c-9dc8dd815e52-5713431723-1625540129520.png"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'sun damage')",Sunscreen,Erha Helios Water Resistance Use Spf 50/PA++,ERHA,"('moisturizing', 'uv-protection')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/8/2/0/0/18200-large_default.jpg
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,ERHA Acneact Clarifying Toner,ERHA,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Erha_Acneact_Clarifying_Toner.png
"Normal, Dry, Oily, Combination, Sensitive","('pigmentation', 'redness')",Moisturizer,Erha Truwhite Brightening Neck Cream,ERHA,"('soothing', 'brightening')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/cbd45cfd-adf4-4c6f-ab39-a1cde2b05498-image-0-1614149643713"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'sun damage')",Moisturizer,Erha Age Corrector Night Cream 30g - Niacinamide & Phytosqualane,ERHA,"('anti-aging', 'uv-protection')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/9/4/3/2/29432-large_default.jpg
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'sun damage')",Sunscreen,Erha Perfect Shield Helios 30g - Daily Sunscreen,ERHA,"('anti-aging', 'uv-protection')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/d57a84ff-f3c8-4eea-a084-5245c7bdd2cf-33109038952-1625130077279.png"
"Normal, Dry, Oily, Combination","('sun damage',)",Sunscreen,ERHA Perfect Shield Helios Daily Sunscreen Spf50/Pa+++ ,ERHA ,"('uv-protection',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/ERHA_PERFECT_SHIELD_HELIOS_DAILY_SUNSCREEN_SPF50PA.jpg
"Normal, Dry, Oily, Combination","('acne', 'skin imbalance', 'enlarged pores')",Toner,Erha Acneact Witch Hazel & Zinc Gluconate Pore Minimizing Toner,ERHA,"('balancing', 'acne-free', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1605152134228"
"Normal, Dry, Oily, Combination, Sensitive","('pigmentation', 'redness')",Toner,Erha Truwhite Brightening Face Toner ,ERHA,"('soothing', 'brightening')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/46708497549-1597374412550.png"
"Normal, Dry, Oily, Combination","('dry and dehydrated skin', 'redness', 'acne')",Toner,Erha Acneact Witch Hazel Acne Blemish Toner,ERHA,"('hydrating', 'soothing', 'acne-free')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1605161868439"
"Normal, Dry","('dry and dehydrated skin',)",Moisturizer, Erha ERHA X AQUA Re-fresh Hydrating Face Mist Rp 93.500Rp 78.540-16%(22),ERHA,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/2e79c842-451b-4f80-a314-0fd4f711303b-image-0-1614149156729"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Toner,ERHA Truwhite Niacinamide & Txa Brightening Face Toner ,ERHA,"('hydrating', 'moisturizing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Truwhite_TXA.jpg
"Normal, Dry, Oily, Combination, Sensitive","('redness', 'skin imbalance')",Toner,ERHA Erha 3 Balancing Toner ,ERHA ,"('soothing', 'balancing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/ERHA_3_BALANCING_TONER_60ML.jpg
"Dry, Sensitive","('dry and dehydrated skin',)",Moisturizer, ERHA 8 Moisturizer For Very Dry Skin,ERHA,"('moisturizing',)",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/8/1/9/4/18194-large_default.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Moisturizer,Erha Skin Barrier Face Moisturizer ,ERHA,"('moisturizing',)","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/9c13640e-1d91-4973-9d6a-53656f397002-58484340704-1622707890653.png"
"Normal, Dry, Oily, Combination, Sensitive","('acne', 'enlarged pores', 'oily skin')",Moisturizer,Erha Acneact Witch Hazel Acne Calming Gel,ERHA,"('acne-free', 'oil-control', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1605151097134"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'pigmentation')",Moisturizer,Erha Truwhite Niacinamide & Starfish Essence Brightening Night Cream ,ERHA,"('brightening', 'anti-aging')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1605856986435"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles',)",Moisturizer,Erha Essential Moisturizer,ERHA,"('anti-aging',)",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/8/1/9/3/18193-large_default.jpg
"Dry, Sensitive","('dry and dehydrated skin', 'acne')",Moisturizer,Erha AcneAct Gentle Acne Moisturizer ,ERHA,"('moisturizing', 'acne-free')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/f73008a0-249d-49ab-827b-5b7e00c0aac6-image-0-1614149499137"
"Normal, Dry, Oily, Combination, Sensitive","('pigmentation', 'impaired skin barrier')",Serum,ERHA Truwhite Vit C & Peptides Brightening Serum,ERHA ,"('brightening', 'skin-barrier')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Erha_Truwhite_Vit_C_Peptides_Brightening_Serum.png
Oily,"('wrinkles', 'sun damage')",Sunscreen,ERHA Acneact Acne Sun Friendly 30 gr ,ERHA,"('anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Erha_Acneact_Acne_Sun_Friendly_30_gr.png
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'pigmentation')",Moisturizer,Erha Truwhite Arbutin & Panthenol Brightening Day Cream ,ERHA,"('moisturizing', 'brightening', 'black-spot')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1605856945994"
Dry,"('wrinkles',)",Serum,ERHA Age Corrector Serum ,ERHA,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Erha_Age_Corrector_Serum.png
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Moisturizer,ERHA Acneact Gentle Acne Moisturizer 30 gr,ERHA,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Erha_Acneact_Gentle_Acne_Moisturizer_30_gr.jpg
"Oily, Sensitive","('wrinkles', 'pigmentation')",Sunscreen,essenHerb Tea Tree Green Sun Essence,ESSEN HERB,"('brightening', 'anti-aging')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1600394798540"
Dry,"('wrinkles', 'pigmentation')",Toner,essenHerb EssenHerb Bulgarian Rose Toner,ESSEN HERB,"('brightening', 'anti-aging')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/5/7/2/8/25728-large_default.jpg
"Oily, Sensitive","('dry and dehydrated skin', 'redness')",Moisturizer,essenHerb EssenHerb Tea Tree Cream ,ESSEN HERB,"('soothing', 'moisturizing')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/5/7/2/5/25725-large_default.jpg
Dry,"('wrinkles', 'pigmentation')",Serum,ESTEE LAUDER Advanced Night Repair SYNCHRONIZED Multi Recovery Complex 30 ml ,ESTEE LAUDER,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/11552-removebg-preview2.png
Dry,"('wrinkles', 'pigmentation')",Serum,ESTEE LAUDER Advanced Night Repair SYNCHRONIZED Multi Recovery Complex 50 ml,ESTEE LAUDER,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/11552-removebg-preview1.png
Dry,"('wrinkles', 'pigmentation')",Serum,ESTEE LAUDER Advanced Night Repair SYNCHRONIZED Multi Recovery Complex 75 ml ,ESTEE LAUDER,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/11552-removebg-preview.png
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'sun damage', 'redness')",Sunscreen,Soon Jung Director's Moisture Sun Cream,ETUDE,"('soothing', 'moisturizing', 'uv-protection')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/9503a018-6a6d-4988-9dab-80a7d0080779-.jpg"
Sensitive,"('sun damage', 'redness')",Sunscreen,Soon Jung Director's Mineral Filter Sun Cream,ETUDE,"('soothing', 'uv-protection')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/ae1ade1c-816b-407a-a82b-4ba844c0cd95-.jpg"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'wrinkles', 'skin imbalance')",Face Wash,Organic Anti Aging Facial Wash Happy Skin,EUCALIE,"('balancing', 'moisturizing', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Eucalie_Anti_Aging_Facial_Wash_-_Happy_Skin_100ml.jpg
"Oily, Sensitive","('redness', 'skin imbalance')",Moisturizer,Everpure Sweet Almond Oil - Cold-Pressed,EVERPURE,"('soothing', 'balancing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/4b4dec26-2828-4c9e-a0f8-98167827db52-.jpg"
Oily,"('acne', 'enlarged pores', 'oily skin')",Moisturizer,Everpure Grapeseed Oil - Cold-Pressed ,EVERPURE,"('acne-free', 'oil-control', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/b9058dfb-efda-45ae-97d2-24333c14a442-.jpg"
Dry,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,EVERSHINE Pure Bakuchiol 2% Blemish & Age Define Serum,EVERSHINE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Pure_Bakuchiol_Bottle.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,EVERSHINE Moringa Refresh Toner Essence   Edition,EVERSHINE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/SKU_Evershine-removebg-preview.png
Dry,"('redness', 'skin imbalance')",Toner,EVERSHINE Moringa Refresh Toner Essence,EVERSHINE,"('soothing', 'balancing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/RTE_%281%29.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Face Wash,EVERSHINE Moringa Facial Wash,EVERSHINE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/MORINGA_FW2_%281%29.png
Oily,"('wrinkles', 'pigmentation', 'acne')",Serum,EVERSHINE Fruit Mix Willow Peeling Glow Serum ,EVERSHINE,"('acne-free', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Fruit_Mix_Willow_Bottle.png
Oily,"('acne', 'enlarged pores', 'oily skin')",Toner,Everwhite Acnepair Toner ,EVERWHITE,"('acne-free', 'oil-control', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/9c422d9f-72dc-46e2-a14a-e548b852f3aa-image-0-1625475797235"
"Normal, Dry, Oily, Combination, Sensitive","('redness', 'skin imbalance')",Toner,Everwhite Hydrating Essence Toner,EVERWHITE,"('soothing', 'balancing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/6e560a02-c1a6-4e74-afad-55738677eeac-image-0-1625478200433"
"Normal, Dry, Oily, Combination, Sensitive","('pigmentation', 'skin imbalance', 'enlarged pores')",Moisturizer,FIRST LAB Probiotic Cream,FIRST LAB,"('balancing', 'pore-care', 'brightening')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/First_Lab_Probiotic_Cream_50ml.jpg
Oily,"('wrinkles', 'pigmentation', 'sun damage')",Sunscreen,FIRST LAB Probiotic Sun Cream SPF50+ PA+++ (50ml) ,FIRST LAB,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/dcd.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Moisturizer,FIRST LAB Probiotic REVERSE Skin Emulsion 100ml,FIRST LAB,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/First_Lab_Probiotic_Reverse_Skin_Emulsion.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Moisturizer,FIRST LAB Probiotic Lacto Cream 30ml,FIRST LAB,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/First_Lab_Probiotic_Reverse_Cream_50ml1.jpg
Oily,"('wrinkles', 'pigmentation', 'sun damage')",Moisturizer,FIRST LAB Radiance Tone Up Cream,FIRST LAB,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/%C3%A2__%C3%82%C2%B0%C3%82%C2%B5%C3%AF%C2%A3%C2%BF%C3%83%C2%A6%C3%AF%C2%A3%C2%BF%C3%8E%C2%A9%C3%A2_%C2%AB_%C3%A2__%C3%83_%C3%83%C2%A6%C3%8B__%C3%A2__%C3%83_%C3%82%C2%A5%C3%A2_%C2%AB%C3%83%C2%A6%C3%83__%C3%82%C2%BB%C3%86_.jpg
Oily,"('wrinkles', 'pigmentation', 'acne')",Face Wash,First Lab Probiotic Deep Cleansing Foam 140ml,FIRST LAB,"('acne-free', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/First_Lab_Probiotic_Deep_Cleansing_Foam.jpg
Dry,"('wrinkles', 'pigmentation')",Toner,FIRST LAB Probiotic Ultra Facial Toner 300ml ,FIRST LAB,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/jual_firstlab_ultra_facial_toner_2.JPG
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,FIRST LAB Resveratrol Ampoule 10ml,FIRST LAB,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/First_Lab_Resveratrol_2.webp
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,FIRST LAB Probiotic Serum,FIRST LAB,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/First_Lab_Probiotic_Serum111.jpg
Oily,"('wrinkles',)",Serum,FOR SKINS SAKE Hyaluronic Acid Serum Rp 225.000 Rp 202.500 (19),FOR SKINS SAKE,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/HA-SERUM.jpg
Dry,"('wrinkles', 'pigmentation')",Serum,FOR SKINS SAKE Vitamin C Serum,FOR SKINS SAKE,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/VITC-SERUM.jpg
Dry,"('wrinkles',)",Face Wash,FSS Gentle Cleansing Foam Refill,FOR SKINS SAKE,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/FSS_Gentle_Cleansing_Foam_Refill.png
Sensitive,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,FOR SKINS SAKE Retinol Serum,FOR SKINS SAKE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/RET-SERUM.jpg
"Normal, Dry, Oily, Combination, Sensitive","('sun damage', 'sun protection')",Sunscreen,For Skins Sake Weightless Sunscreen,FOR SKINS SAKE,"('uv-protection', 'no-whitecast')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/6/6/7/5/36675-large_default.jpg
Dry,"('wrinkles', 'sun damage')",Moisturizer,For Skins Sake Retinol Overnight Cream by FSS,FOR SKINS SAKE,"('anti-aging', 'uv-protection')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/9/5/0/6/29506-large_default.jpg
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Moisturizer,FOR SKINS SAKE Retinol Overnight Cream,FOR SKINS SAKE,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/RET-CREAM.jpg
"Normal, Dry","('dry and dehydrated skin', 'sun damage', 'sun protection')",Sunscreen,Frudia Ultra UV Shield Sun Essence,FRUDIA,"('moisturizing', 'uv-protection', 'no-whitecast')",https://static.femaledaily.com/dyn/210/images/prod-pics/817528329a1927e490e577b2f8b6d056.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Moisturizer,Garnier Garnier Sakura White Pinkish Radiance Essence Lotion ,GARNIER,"('hydrating', 'moisturizing')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/2/5/4/7/7/25477-large_default.jpg
Oily,"('sun damage', 'pigmentation')",Sunscreen,Garnier Garnier Light Complete Super UV Spot Proof Sunscreen,GARNIER,"('brightening', 'uv-protection')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1602120151798"
Oily,"('enlarged pores', 'oily skin')",Face Wash,Garnier Pure Active Matcha Dee Clean Dirt Oil Control Foam 50ml,GARNIER,"('oil-control', 'pore-care')",https://www.beautyhaul.com/assets/more3.png
Oily,"('dry and dehydrated skin', 'acne')",Face Wash,Garnier Bright Complete 3 in 1 Anti Acne Face Wash,GARNIER,"('moisturizing', 'acne-free')",http://image.femaledaily.com/dyn/500/images/prod-pics/product_1626680531_387ce78720_800x800.png
